RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,42991384,2014,8,Agosto
Total,,Pernoctaciones,37641540,2014,7,Julio
Total,,Pernoctaciones,31567799,2014,6,Junio
Total,,Pernoctaciones,26691702,2014,5,Mayo
Total,,Pernoctaciones,22298622,2014,4,Abril
Total,,Pernoctaciones,18129451,2014,3,Marzo
Total,,Pernoctaciones,13875208,2014,2,Febrero
Total,,Pernoctaciones,12807505,2014,1,Enero
Total,,Pernoctaciones,13595795,2013,12,Diciembre
Total,,Pernoctaciones,15087587,2013,11,Noviembre
Total,,Pernoctaciones,25015770,2013,10,Octubre
Total,,Pernoctaciones,32647844,2013,9,Septiembre
Total,,Pernoctaciones,41900828,2013,8,Agosto
Total,,Pernoctaciones,37670863,2013,7,Julio
Total,,Pernoctaciones,30808604,2013,6,Junio
Total,,Pernoctaciones,26359256,2013,5,Mayo
Total,,Pernoctaciones,19135958,2013,4,Abril
Total,,Pernoctaciones,18815829,2013,3,Marzo
Total,,Pernoctaciones,13104722,2013,2,Febrero
Total,,Pernoctaciones,11887105,2013,1,Enero
Total,,Pernoctaciones,12398564,2012,12,Diciembre
Total,,Pernoctaciones,13854509,2012,11,Noviembre
Total,,Pernoctaciones,23909187,2012,10,Octubre
Total,,Pernoctaciones,32045387,2012,9,Septiembre
Total,,Pernoctaciones,40581091,2012,8,Agosto
Total,,Pernoctaciones,37395658,2012,7,Julio
Total,,Pernoctaciones,30243838,2012,6,Junio
Total,,Pernoctaciones,24628932,2012,5,Mayo
Total,,Pernoctaciones,21445224,2012,4,Abril
Total,,Pernoctaciones,17393498,2012,3,Marzo
Total,,Pernoctaciones,14163457,2012,2,Febrero
Total,,Pernoctaciones,12600203,2012,1,Enero
Total,,Pernoctaciones,13044798,2011,12,Diciembre
Total,,Pernoctaciones,14674921,2011,11,Noviembre
Total,,Pernoctaciones,24764256,2011,10,Octubre
Total,,Pernoctaciones,32099863,2011,9,Septiembre
Total,,Pernoctaciones,41694917,2011,8,Agosto
Total,,Pernoctaciones,37980214,2011,7,Julio
Total,,Pernoctaciones,30704218,2011,6,Junio
Total,,Pernoctaciones,24670723,2011,5,Mayo
Total,,Pernoctaciones,22618769,2011,4,Abril
Total,,Pernoctaciones,18086818,2011,3,Marzo
Total,,Pernoctaciones,14238644,2011,2,Febrero
Total,,Pernoctaciones,12183118,2011,1,Enero
Total,,Pernoctaciones,12778595,2010,12,Diciembre
Total,,Pernoctaciones,14363392,2010,11,Noviembre
Total,,Pernoctaciones,23976893,2010,10,Octubre
Total,,Pernoctaciones,29696355,2010,9,Septiembre
