Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M12;48,79
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M11;40,17
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M10;42,28
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M09;28,71
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M08;21,82
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M07;28,73
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M06;24,06
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M05;39,07
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M04;36,53
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M03;35,53
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M02;34,10
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2023M01;46,47
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M12;47,40
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M11;36,89
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M10;47,07
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M09;28,34
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M08;26,43
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M07;22,11
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M06;24,32
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M05;29,93
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M04;43,12
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M03;30,59
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M02;44,87
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2022M01;42,56
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M03;19,58
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M02;28,55
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M01;46,82
